,name,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,albumName
0,Khuda Jaane___Vishal-Shekhar,Vishal-Shekhar,Khuda Jaane,21242,2020-07-19 17:12:00,0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936,audio_features,333584,4,Bachna Ae Haseeno
1,O Re Piya___Salim–Sulaiman,Salim–Sulaiman,O Re Piya,0,2020-07-20 02:33:00,0.586,0.532,11,-8.837,0,0.0328,0.779,0.000565,0.124,0.494,99.994,audio_features,379768,4,Aaja Nachle
2,Tum Se Hi___Pritam,Pritam,Tum Se Hi,1602,2020-07-20 02:33:00,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,audio_features,321225,4,Jab We Met
3,Kaise Mujhe___Benny Dayal,Benny Dayal,Kaise Mujhe,4236,2020-07-20 02:33:00,0.59,0.414,10,-12.391,1,0.0346,0.781,0.000522,0.146,0.292,82.002,audio_features,343742,4,Ghajini
4,Tere Bina___A.R. Rahman,A.R. Rahman,Tere Bina,1820,2020-07-20 02:33:00,0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,audio_features,309640,4,Guru (Original Motion Picture Soundtrack)
5,Phir Bhi Tumko Chaahunga___Mithoon,Mithoon,Phir Bhi Tumko Chaahunga,1488,2020-07-20 02:33:00,0.527,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,audio_features,351588,4,Half Girlfriend
6,Dil Kyun Yeh Mera___KK,KK,Dil Kyun Yeh Mera,944,2020-07-20 02:33:00,0.486,0.382,6,-6.183,1,0.0286,0.613,8.56e-05,0.149,0.164,125.918,audio_features,333200,3,Kites
7,Ennai Vittu___Ranjith Govind,Ranjith Govind,Ennai Vittu,14288,2020-07-20 02:33:00,0.8,0.751,0,-5.554,1,0.049,0.568,0.0,0.219,0.604,102.021,audio_features,233011,4,Kannum Kannum Kollaiyadithaal
8,"Parayuvaan - From ""Ishq""___Sid Sriram",Sid Sriram,"Parayuvaan - From ""Ishq""",138889,2020-07-20 02:36:00,0.565,0.565,3,-8.64,1,0.0515,0.639,0.00206,0.0838,0.246,146.977,audio_features,277347,4,"Parayuvaan (From ""Ishq"")"
9,Nadaan Parinde___A.R. Rahman,A.R. Rahman,Nadaan Parinde,12039,2020-07-20 02:36:00,0.507,0.741,6,-7.456,0,0.0535,0.414,3.95e-06,0.107,0.492,132.903,audio_features,384000,4,Rockstar
10,Fakira___Vishal-Shekhar,Vishal-Shekhar,Fakira,19173,2020-07-20 02:36:00,0.618,0.707,0,-6.554,0,0.0398,0.738,0.00442,0.0876,0.711,80.078,audio_features,288020,4,Student of the Year 2
11,Kaun Mera___Papon,Papon,Kaun Mera,3654,2020-07-20 02:36:00,0.63,0.376,2,-9.814,1,0.0252,0.416,0.000179,0.0954,0.347,100.969,audio_features,172942,1,Special 26
12,Rehna Tu___A.R. Rahman,A.R. Rahman,Rehna Tu,4543,2020-07-20 02:36:00,0.643,0.458,11,-11.502,0,0.0594,0.327,0.00394,0.0966,0.73,82.041,audio_features,409275,4,Delhi-6
